watershed_group_code,crossing_feature_type,ch_spawning_blocked_km,ch_rearing_blocked_km,co_spawning_blocked_km,co_rearing_blocked_km,sk_spawning_blocked_km,sk_rearing_blocked_km,st_spawning_blocked_km,st_rearing_blocked_km,all_spawning_blocked_km,all_rearing_blocked_km,all_spawningrearing_blocked_km
SMAR,"ROAD, RESOURCE/OTHER",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SMAR,TRAIL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SMOK,"ROAD, DEMOGRAPHIC",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SMOK,"ROAD, RESOURCE/OTHER",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SPAT,"ROAD, RESOURCE/OTHER",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SQAM,DAM,24.75,15.43,30.45,15.86,0.00,16.82,29.80,23.62,31.37,40.60,55.73
SQAM,RAIL,0.07,1.10,0.48,1.15,0.00,0.00,0.23,1.22,0.48,1.27,1.27
SQAM,"ROAD, DEMOGRAPHIC",4.90,10.73,13.92,14.28,0.00,0.00,6.44,15.68,13.92,16.93,16.93
SQAM,"ROAD, RESOURCE/OTHER",86.07,23.58,122.86,40.90,0.00,0.00,114.22,57.38,133.48,67.38,163.02
SQAM,TRAIL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
STHM,DAM,0.00,0.00,0.27,5.90,0.00,0.00,0.00,0.00,0.27,5.90,5.90
STHM,RAIL,0.00,0.00,0.00,6.15,0.00,0.00,0.00,0.00,0.00,6.15,6.15
STHM,"ROAD, DEMOGRAPHIC",2.22,5.87,10.37,24.00,0.00,0.00,0.00,0.00,10.37,24.00,24.00
STHM,"ROAD, RESOURCE/OTHER",9.10,15.53,20.63,50.59,0.00,0.00,0.00,0.00,20.63,50.59,50.59
STIR,"ROAD, DEMOGRAPHIC",0.02,0.02,0.02,0.02,0.00,0.00,0.00,0.00,0.02,0.02,0.02
STIR,"ROAD, RESOURCE/OTHER",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
STUL,DAM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
STUL,RAIL,0.00,0.00,0.18,14.42,0.13,0.00,0.00,0.00,0.18,14.42,14.42
STUL,"ROAD, DEMOGRAPHIC",0.00,0.00,2.89,19.19,6.04,0.00,0.00,0.00,6.92,19.19,23.22
STUL,"ROAD, RESOURCE/OTHER",0.00,0.00,19.31,171.97,2.92,0.00,0.00,0.00,19.31,171.97,171.97
STUL,TRAIL,0.00,0.00,0.00,2.14,0.00,0.00,0.00,0.00,0.00,2.14,2.14
STUR,DAM,0.00,0.00,0.00,1.07,0.00,0.00,0.00,0.00,0.00,1.07,1.07
STUR,"ROAD, DEMOGRAPHIC",0.00,0.00,2.70,24.21,0.00,0.00,0.00,0.00,2.70,24.21,24.21
STUR,"ROAD, RESOURCE/OTHER",0.76,1.06,10.11,144.25,4.00,15.80,0.00,0.00,14.11,160.04,160.58
SUST,RAIL,1.92,8.15,9.38,19.46,0.00,0.00,7.39,14.92,9.38,24.98,24.98
SUST,"ROAD, RESOURCE/OTHER",2.74,9.46,20.37,34.96,0.00,0.00,5.42,36.47,21.40,48.53,48.53
SWIR,"ROAD, DEMOGRAPHIC",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SWIR,"ROAD, RESOURCE/OTHER",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TABR,DAM,0.00,0.00,0.05,0.07,0.00,0.00,0.00,0.00,0.05,0.07,0.07
TABR,RAIL,0.79,1.48,7.56,12.14,0.00,0.00,0.00,0.00,7.56,12.13,12.13
TABR,"ROAD, DEMOGRAPHIC",5.86,5.86,11.30,48.06,0.00,0.00,0.00,0.00,11.30,48.06,48.06
TABR,"ROAD, RESOURCE/OTHER",32.95,37.70,75.18,256.65,3.12,10.02,0.00,0.00,76.61,266.68,266.73
TABR,TRAIL,0.00,0.00,0.00,5.75,0.00,0.00,0.00,0.00,0.00,5.75,5.75
TAHR,"ROAD, RESOURCE/OTHER",0.00,0.00,0.59,0.59,0.00,0.00,0.00,0.59,0.59,0.59,0.59
TAHS,"ROAD, RESOURCE/OTHER",21.54,38.25,43.92,46.10,0.00,0.00,43.15,82.98,60.71,86.36,86.36
TAKL,RAIL,2.89,2.89,13.93,20.13,1.54,0.00,0.00,0.00,13.93,20.13,20.13
TAKL,"ROAD, RESOURCE/OTHER",2.52,9.33,40.97,117.32,1.05,0.00,0.00,0.00,41.03,117.32,117.38
TASR,DAM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TASR,"ROAD, DEMOGRAPHIC",0.00,0.00,0.00,1.51,0.00,0.00,0.00,0.00,0.00,1.51,1.51
TASR,"ROAD, RESOURCE/OTHER",4.48,10.15,29.25,102.93,0.00,0.00,0.00,0.00,29.25,102.93,102.93
TATR,"ROAD, DEMOGRAPHIC",2.34,4.32,6.57,16.55,0.00,0.00,0.00,0.00,6.57,16.55,16.55
TATR,"ROAD, RESOURCE/OTHER",0.50,2.14,3.67,4.95,0.00,0.00,0.00,0.00,3.67,4.95,4.95
TAYR,"ROAD, RESOURCE/OTHER",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.36,0.00,0.36,0.36
TESR,"ROAD, DEMOGRAPHIC",6.60,8.26,14.64,23.79,0.00,0.00,0.00,0.00,14.64,23.79,23.79
TESR,"ROAD, RESOURCE/OTHER",0.22,4.25,4.35,9.49,0.00,0.00,0.00,0.00,4.35,9.49,9.49
THOM,DAM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
THOM,RAIL,0.00,0.00,0.34,0.34,0.00,0.00,0.02,0.08,0.34,0.40,0.40
