watershed_feature_id,map
7645497,559.3943662
9700923,563.24031008
9707530,561.73333333
9710568,592.85714286
9344468,566.91044776
9714925,571.71820616
9702009,598.56410256
9713364,596.0
9717250,605.15286624
9717610,560.91253644
9959979,600.6159601
9704131,629.11952191
9700441,660.61333333
9706986,615.35643564
9704867,576.43127962
9700611,572.19117647
9703263,602.32125604
9703461,577.33752621
9706224,577.77083333
9709447,561.0
9710419,585.68636797
9708090,609.57709924
7653798,588.18556701
9701229,544.8115942
9716469,520.45049505
9711354,550.56280587
7968367,530.69586984
9715870,571.40275862
9715760,552.0
9709896,557.76595745
9714147,572.12990937
7645502,539.57142857
7645543,531.13513514
9974050,639.41990669
7653796,576.67588326
8029453,578.70736434
7645542,532.51111111
8763618,533.13333333
7649552,538.4
9706404,543.0
8025763,554.19349593
9718118,565.10179641
7645636,568.0
9702800,589.4976
9715830,559.91752577
9713437,578.5030303
9708200,669.29965948
9711543,649.63758389
7649553,539.2
9708762,547.95683453
9711485,548.10941476
9712217,570.33333333
9705223,560.94564241
9704127,568.68333333
9706878,630.56521739
9704031,571.58762887
9700643,583.86551724
9713185,563.00371747
8077085,
8029251,576.73611111
9702865,563.01976285
7645742,554.0
9715010,542.47368421
9708868,548.79010989
8755413,590.2972973
9702945,562.77109375
9710719,563.9261745
7653607,358.62030075
9965823,361.79770115
9708485,590.58085382
9703949,601.94322344
9708989,607.8989899
9715130,664.29080119
7645707,593.23684211
9707579,671.4372093
7649550,602.0
9939727,590.8436019
7653757,708.32236842
8028722,710.82771536
9705944,618.45537341
9702830,644.91166777
9715013,580.31939163
9715178,429.14015152
8038325,455.37703849
8089103,445.47582205
9939996,700.9262202
9714141,699.37164751
9708240,612.55893536
9702716,499.50427757
9939815,589.52380952
9959435,403.50515464
9958747,376.74699263
9959889,425.7234342
9717025,579.82407407
9700584,450.0
9704825,436.71875
7793400,375.67142857
9958791,380.38890864
9709905,479.01204819
7645728,441.2
9709120,531.39347604
9714426,675.64864865
9706351,563.9496208
9705866,664.64705882
7645547,706.45882353
9700546,653.54716981
9701262,687.94552529
9714985,424.41176471
9958986,676.3945278
9710118,592.68273717
9713677,616.39169675
9707357,582.79365079
9708302,388.56369184
9712257,423.20212766
9704885,552.43562439
9715427,511.96533333
9711600,583.3010101
9715134,366.38297872
9705765,528.94689326
8302605,706.2555205
8896077,705.86486486
9939932,655.60619469
9718051,569.85558583
9958601,421.44565674
9717001,542.46486486
9706719,653.83898305
9709997,
9958586,577.3285473
9702221,417.85897436
9717419,436.16817807
9714880,669.69270833
9717732,716.69473684
9704107,629.06962025
9959265,614.5198556
9707632,506.66381766
9717611,510.71559633
9712348,598.55414013
9715474,531.11154856
9701436,517.66589862
9703471,465.61389961
9958774,369.82321291
9710005,387.83577153
9703405,423.54605263
9708695,391.19888129
9705929,602.45378151
9716092,576.92719919
9708808,522.19371728
7645548,710.22641509
9700443,422.84868421
9712270,429.65530303
9703079,371.78063196
9702505,537.87320838
9715621,424.69333333
9710941,385.610625
7645625,376.0
9959440,413.03669725
9959376,537.39185905
9712313,482.25
9714763,432.32878788
9958737,441.16050198
8088798,395.2224736
9705318,414.66266867
9715441,437.73158426
9707861,372.6460177
9705813,366.18343195
9959838,368.82735426
8089118,712.08053691
7645624,376.0
9703394,432.33333333
9705352,485.80161943
