modelled_crossing_id,structure,watershed_group_code,reviewer,notes
600645,OBS,BABR,OB,
600712,OBS,BABR,OB,
600798,OBS,BABR,OB,
600801,OBS,BABR,OB,
600827,OBS,BABR,OB,
600849,OBS,BABR,OB,
601026,NONE,BABR,OB,no road
601064,NONE,BABR,OB,no road
601073,NONE,BABR,OB,no road
800528,OBS,BBAR,OB,
801533,NONE,BBAR,OB,no crossing
802542,OBS,BBAR,OB,
802636,NONE,BBAR,OB,no crossing
802738,OBS,BBAR,OB,
1200069,NONE,BLAR,AL,no crossing
1200369,NONE,BLAR,AL,no crossing
1200516,NONE,BLAR,AL,no crossing
1200551,NONE,BLAR,AL,no road
1200924,NONE,BLAR,AL,no crossing
1200926,NONE,BLAR,AL,no crossing
1201321,OBS,BLAR,AL,
1201555,OBS,BLAR,AL,
1201561,OBS,BLAR,AL,
1201643,OBS,BLAR,AL,
1201681,OBS,BLAR,AL,
1201707,OBS,BLAR,AL,
1201711,NONE,BLAR,AL,no road
1201926,OBS,BLAR,AL,
1201966,OBS,BLAR,AL,
1202200,NONE,BLAR,AL,no road
1202206,OBS,BLAR,AL,
1202207,OBS,BLAR,AL,
1202270,NONE,BLAR,AL,no road
1202271,NONE,BLAR,AL,no road
1202744,NONE,BLAR,AL,no road
1400107,OBS,BONP,SN,
1400183,OBS,BONP,NMW,
1400300,NONE,BONP,NMW,no road/structure
1401942,OBS,BONP,NMW,
1402216,NONE,BONP,NMW,no road/structure
1402246,OBS,BONP,NMW,
1402798,NONE,BONP,NMW,no road/structure
1402825,NONE,BONP,NMW,no road/structure
1402866,NONE,BONP,NMW,no road/structure
1402869,OBS,BONP,NMW,
1403134,NONE,BONP,NMW,no road/structure
1403674,NONE,BONP,NMW,no road/structure
1404049,OBS,BONP,NMW,
1404365,NONE,BONP,NMW,no road/structure
1404790,NONE,BONP,NMW,no road/structure
1404823,OBS,BONP,NMW,
1500050,NONE,BOWR,AL,no crossing
1500666,NONE,BOWR,AL,no road
1501337,NONE,BOWR,AL,no road
1501338,NONE,BOWR,AL,no road
1501882,NONE,BOWR,AL,no road
1502083,NONE,BOWR,AL,no crossing
1502410,OBS,BOWR,AL,
1502807,OBS,BOWR,AL,
1800003,OBS,BULK,PK,
1800049,OBS,BULK,PK,
1800066,OBS,BULK,SN,Assessment pre load (Irvine 2020) - actually a passable CBS but noted here for convenience (Irvine 2020)
1800076,OBS,BULK,SN,Assessment pre load (Irvine 2020) - actually a passable CBS but noted here for convenience (Irvine 2020)
1800154,OBS,BULK,PK,
1800334,OBS,BULK,NMW,
1800472,OBS,BULK,SN,Assessment pre load (Irvine 2020)
1800644,OBS,BULK,PK,
1800661,NONE,BULK,NMW,no road/structure
1800808,NONE,BULK,SN,no road
1800819,OBS,BULK,PK,
1801041,NONE,BULK,NMW,no road/structure
1801067,OBS,BULK,NMW,
1801069,OBS,BULK,SN,Assessment pre load (Irvine 2020) - actually a passable CBS but noted here for convenience (Irvine 2020)
1801088,NONE,BULK,SN,no structure
1801117,OBS,BULK,PK,
1801156,NONE,BULK,NMW,no road/structure
1801167,NONE,BULK,NMW,no road/structure
1801188,NONE,BULK,SN,no crossing visible
1801208,OBS,BULK,NMW,
1801258,NONE,BULK,PK,no road/structure
1801332,OBS,BULK,PK,
1801559,NONE,BULK,NMW,no road/structure
1801590,NONE,BULK,NMW,no road/structure
1801613,NONE,BULK,NMW,no road/structure
1801847,NONE,BULK,NMW,no road/structure
1801858,NONE,BULK,NMW,no road/structure
1801895,NONE,BULK,NMW,no road/structure
1801925,NONE,BULK,NMW,no road/structure
1802180,NONE,BULK,NMW,no road/structure
1802262,NONE,BULK,PK,no road/structure
1802343,OBS,BULK,PK,
1802406,OBS,BULK,PK,
1802430,NONE,BULK,NMW,no road/structure
1802474,OBS,BULK,PK,
1802475,NONE,BULK,NMW,no road/structure
1802642,OBS,BULK,PK,
1802792,NONE,BULK,PK,no road/structure
1802938,OBS,BULK,PK,
1802980,NONE,BULK,NMW,no road/structure
1803021,NONE,BULK,NMW,no road/structure
1803222,OBS,BULK,PK,
1803235,NONE,BULK,NMW,no road/structure
1803244,OBS,BULK,PK,
1803306,OBS,BULK,NMW,
1803367,NONE,BULK,PK,no road/structure
1803384,NONE,BULK,NMW,no road/structure
1803403,OBS,BULK,PK,
1803588,OBS,BULK,NMW,
1803643,OBS,BULK,PK,
1803651,OBS,BULK,NMW,
1803663,NONE,BULK,PK,no road/structure
1803709,OBS,BULK,NMW,
1803821,OBS,BULK,NMW,
1803828,OBS,BULK,PK,
1803830,NONE,BULK,NMW,no road/structure
1803934,OBS,BULK,PK,
1803946,OBS,BULK,PK,
1803962,OBS,BULK,PK,
1803970,OBS,BULK,NMW,
1804035,OBS,BULK,PK,
1804057,OBS,BULK,PK,
1804061,OBS,BULK,PK,
1804114,OBS,BULK,PK,
1804145,OBS,BULK,NMW,
1804151,OBS,BULK,PK,
1804153,OBS,BULK,SN,Assessment pre load (Irvine 2020)
1804174,OBS,BULK,NMW,
1804233,OBS,BULK,NMW,
1804238,OBS,BULK,NMW,
1804275,NONE,BULK,PK,no road/structure
1804416,NONE,BULK,PK,no road/structure
1804417,NONE,BULK,PK,no road/structure
1804450,NONE,BULK,PK,no road/structure
1804478,NONE,BULK,PK,no road/structure
